PTC Loader version 1.6.5_TEST2
MSG| 0.0.0.0:12345      | 2015-10-15 06:49:37:962| client_timer_CB_for_link_test started
MSG| 10.255.255.10:56109| 2015-10-15 06:49:38:107| TCP-ULP file Request pkt
TRS| 10.255.255.11:10010| 2015-10-15 06:49:38:111| UDP file request received from IP address: 10.255.255.11
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:113| TCP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:38:116| linux;TBD Model;TBD Part;TBD Serial;
MSG| Description        | 2015-10-15 06:49:38:118| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:38:120| linux
MSG| Operating system   | 2015-10-15 06:49:38:123| linux
TRS| 10.255.255.11:10010| 2015-10-15 06:49:38:126| SendFileInfo Name:packages.txt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:129| SendFileInfo Name:app.screensaver.zpkg
MSG| 10.255.255.10:56109| 2015-10-15 06:49:38:133| TCP file data request received from IP address: 10.255.255.10
COM| 0.0.0.0:12345      | 2015-10-15 06:49:38:136| TCP client added to the list of active clients with the IP address: 10.255.255.11
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:139| SendFileData
MSG| 10.255.255.11:35907| 2015-10-15 06:49:38:142| client_timer_CB_for_sw_ver started
COM| 10.255.255.11:35907| 2015-10-15 06:49:38:145| TCP client connection accepted IP address: 10.255.255.1135907
MSG| 10.255.255.10:56109| 2015-10-15 06:49:38:150| TCP file data request received from IP address: 10.255.255.10
MSG| 10.255.255.11:35907| 2015-10-15 06:49:38:159| TCP-ULP file Request pkt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:162| SendFileData
TRS| 10.255.255.11:35907| 2015-10-15 06:49:38:164| TCP file request received from IP address: 10.255.255.11
MSG| Description        | 2015-10-15 06:49:38:167| linux;TBD Model;TBD Part;TBD Serial;
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:170| ClientConnection_Received: MessageType.FileComplete 
MSG| Operating system   | 2015-10-15 06:49:38:173| linux
TRS| 10.255.255.11:35907| 2015-10-15 06:49:38:175| SendFileInfo Name:packages.txt
MSG| 10.255.255.10:56109| 2015-10-15 06:49:38:368| TCP-ULP file Request pkt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:371| TCP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:38:374| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:38:376| linux
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:379| SendFileInfo Name:app.splash.zpkg
MSG| 10.255.255.10:56109| 2015-10-15 06:49:38:382| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:385| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:38:392| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:395| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:38:399| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:402| SendFileData
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:406| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.10:56109| 2015-10-15 06:49:38:608| TCP-ULP file Request pkt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:614| TCP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:38:619| linux;TBD Model;TBD Part;TBD Serial;
MSG| 10.255.255.11:35907| 2015-10-15 06:49:38:624| TCP file data request received from IP address: 10.255.255.11
MSG| Operating system   | 2015-10-15 06:49:38:629| linux
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:633| SendFileInfo Name:app.sw_update.zpkg
TRS| 10.255.255.11:35907| 2015-10-15 06:49:38:635| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:38:638| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.11:35907| 2015-10-15 06:49:38:641| ClientConnection_Received: MessageType.FileComplete 
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:644| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:38:648| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:651| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:38:655| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:658| SendFileData
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:662| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.11:35907| 2015-10-15 06:49:38:848| TCP-ULP file Request pkt
TRS| 10.255.255.11:35907| 2015-10-15 06:49:38:851| TCP file request received from IP address: 10.255.255.11
MSG| Description        | 2015-10-15 06:49:38:855| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:38:858| linux
TRS| 10.255.255.11:35907| 2015-10-15 06:49:38:861| SendFileInfo Name:ACP_EAB_ts_guide.cfg
MSG| 10.255.255.10:56109| 2015-10-15 06:49:38:868| TCP-ULP file Request pkt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:871| TCP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:38:874| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:38:877| linux
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:880| SendFileInfo Name:app.system_configuration.zpkg
MSG| 10.255.255.10:56109| 2015-10-15 06:49:38:884| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:888| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:38:894| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:897| SendFileData
MSG| 10.255.255.11:35907| 2015-10-15 06:49:38:900| TCP file data request received from IP address: 10.255.255.11
MSG| 10.255.255.10:56109| 2015-10-15 06:49:38:903| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.11:35907| 2015-10-15 06:49:38:906| SendFileData
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:912| SendFileData
TRS| 10.255.255.11:35907| 2015-10-15 06:49:38:916| ClientConnection_Received: MessageType.FileComplete 
TRS| 10.255.255.10:56109| 2015-10-15 06:49:38:919| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.10:56109| 2015-10-15 06:49:39:119| TCP-ULP file Request pkt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:39:125| TCP file request received from IP address: 10.255.255.10
MSG| 10.255.255.11:35907| 2015-10-15 06:49:39:131| TCP-ULP file Request pkt
TRS| 10.255.255.11:35907| 2015-10-15 06:49:39:136| TCP file request received from IP address: 10.255.255.11
MSG| Description        | 2015-10-15 06:49:39:141| linux;TBD Model;TBD Part;TBD Serial;
MSG| Description        | 2015-10-15 06:49:39:145| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:39:148| linux
TRS| 10.255.255.10:56109| 2015-10-15 06:49:39:150| SendFileInfo Name:app.sys_config_util.zpkg
MSG| Operating system   | 2015-10-15 06:49:39:153| linux
TRS| 10.255.255.11:35907| 2015-10-15 06:49:39:156| SendFileInfo Name:ACP_ILC_ts_guide.cfg
MSG| 10.255.255.10:56109| 2015-10-15 06:49:39:160| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:39:163| SendFileData
TRS| 10.255.255.10:56109| 2015-10-15 06:49:39:168| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.11:35907| 2015-10-15 06:49:39:316| TCP file data request received from IP address: 10.255.255.11
TRS| 10.255.255.11:35907| 2015-10-15 06:49:39:321| SendFileData
TRS| 10.255.255.11:35907| 2015-10-15 06:49:39:326| ClientConnection_Received: MessageType.FileComplete 
MSG| 10.255.255.10:56109| 2015-10-15 06:49:39:369| TCP-ULP file Request pkt
TRS| 10.255.255.10:56109| 2015-10-15 06:49:39:372| TCP file request received from IP address: 10.255.255.10
MSG| Description        | 2015-10-15 06:49:39:374| linux;TBD Model;TBD Part;TBD Serial;
MSG| Operating system   | 2015-10-15 06:49:39:376| linux
TRS| 10.255.255.10:56109| 2015-10-15 06:49:39:378| SendFileInfo Name:app.train_data_mgr.zpkg
MSG| 10.255.255.10:56109| 2015-10-15 06:49:39:382| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:39:385| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:39:389| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:39:391| SendFileData
MSG| 10.255.255.10:56109| 2015-10-15 06:49:39:395| TCP file data request received from IP address: 10.255.255.10
TRS| 10.255.255.10:56109| 2015-10-15 06:49:39:398| SendFileData
